GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sentiment-analysis-backend,at.fhv.sentiment_analysis.handlers,AnalysisHandler,86,40,6,8,18,12,4,6,0,3
sentiment-analysis-backend,at.fhv.sentiment_analysis.handlers,AuthHandler,16,72,2,12,3,19,2,10,1,4
sentiment-analysis-backend,at.fhv.sentiment_analysis.handlers,HistoryHandler,32,22,1,5,9,7,2,5,1,3
sentiment-analysis-backend,at.fhv.sentiment_analysis.models,SentimentResult,0,23,0,0,0,9,0,5,0,5
sentiment-analysis-backend,at.fhv.sentiment_analysis.models,HistoryItem,33,0,0,0,13,0,7,0,7,0
sentiment-analysis-backend,at.fhv.sentiment_analysis.models,User,6,17,0,0,2,7,2,3,2,3
sentiment-analysis-backend,at.fhv.sentiment_analysis.models,History,7,8,0,0,3,2,2,1,2,1
sentiment-analysis-backend,at.fhv.sentiment_analysis,Application,13,0,0,0,4,0,3,0,3,0
sentiment-analysis-backend,at.fhv.sentiment_analysis,Application.new WebMvcConfigurerAdapter() {...},44,0,0,0,4,0,2,0,2,0
sentiment-analysis-backend,at.fhv.sentiment_analysis.endpoints,HistoryEndpoint,4,3,0,0,1,1,1,1,1,1
sentiment-analysis-backend,at.fhv.sentiment_analysis.endpoints,AuthEndpoint,0,11,0,0,0,4,0,3,0,3
sentiment-analysis-backend,at.fhv.sentiment_analysis.endpoints,AnalysisEndoint,0,8,0,0,0,2,0,2,0,2
